,alwaysCooperate,alwaysDefect,angery,AngryPriest,antiJoss,antiJossDynamic,antiJossPeriodic,balance,balanceDynamic,best-estDetective,betterDetective,cleverDetective,clevererDetective,confusedTitForTat,conMan,defectFirstTitForTat,delayedDetective,detective,escalatingTitForTat,evilTitForTat,FallenAngel,FallenAngel2,fastDetective,fastDetectiveSimpleton,fodnprtthl,forgivingDefector,forgivingTitForTat,ftft,gradual,grimMoralTitForTat,grimTrigger,hygrit,joss,moralTitForTat,mostBestestDetective,ngrams2,ngrams2Betrayal,ngrams3,npctt,npfitt,npnntt,nprstt,nprtt-forgiveOnce,nprtt-halflife,nprtt-random,nprtt,nprttStudent-halflife,nprttStudent,nprttt,nprwtt,npwtt,oldFallenAngel,omega,opportunisticDefector-1,opportunisticDefector-2,opportunisticDefector-3,opportunisticDefector-4,opportunisticDefector-5,oracle,periodicCopycat,Priest,properOpportunisticDefector-3,punitiveDetective,punitiveSelfAwareTitForTat,randomChoice,randomHistory,reflectiveTitForTat,relaxedGrimMoralTitForTat,resilientTitForTat,selfAwareTitForTat,shortwindow,simpleton,smartJoss,smoughCopycat,smoughsKinderCopycat,sorryJoss,stopper,strictPunitiveDetective,switcher,tickedOffCopycat,titForTat,titForTatDelayed,uftft,ultimateDetective,ultimateDetectiveForgiveOnce,windowed,worst
betterDetective,4.971014492753623188405797101,0.9855072463768115942028985507,2.995238095238095238095238095,2.995708154506437768240343348,2.995495495495495495495495495,2.995762711864406779661016949,2.995,2.995515695067264573991031390,2.995798319327731092436974790,2.992424242424242424242424242,,2.975845410628019323671497585,2.975728155339805825242718447,1.788617886178861788617886179,1.541850220264317180616740088,2.98,1.581881533101045296167247387,2.990610328638497652582159624,2.995918367346938775510204082,2.979253112033195020746887967,1.567656765676567656765676568,2.226666666666666666666666667,2.996932515337423312883435583,2.996551724137931034482758621,1.033980582524271844660194175,2.008771929824561403508771930,2.995049504950495049504950495,1.083720930232558139534883721,2.995327102803738317757009346,2.997093023255813953488372093,1.017621145374449339207048458,2.995,2.668269230769230769230769231,2.995305164319248826291079812,2.991189427312775330396475771,2.995121951219512195121951220,1.555555555555555555555555556,2.995412844036697247706422018,2.996732026143790849673202614,2.995049504950495049504950495,2.995391705069124423963133641,2.995726495726495726495726496,2.995391705069124423963133641,2.996710526315789473684210526,2.995145631067961165048543689,2.996282527881040892193308550,2.995121951219512195121951220,2.996031746031746031746031746,2.995049504950495049504950495,2.996282527881040892193308550,2.995024875621890547263681592,1.592233009708737864077669903,2.995121951219512195121951220,1,1.023255813953488372093023256,1.026415094339622641509433962,1.028846153846153846153846154,1.047413793103448275862068966,1.823943661971830985915492958,2.997101449275362318840579710,2.995850622406639004149377593,2.151851851851851851851851852,1.078291814946619217081850534,2.995283018867924528301886792,1.715686274509803921568627451,2.995515695067264573991031390,2.996254681647940074906367041,2.996699669966996699669966997,2.995726495726495726495726496,2.995348837209302325581395349,1.060606060606060606060606061,1.508620689655172413793103448,2.698198198198198198198198198,2.995192307692307692307692308,2.995121951219512195121951220,2.977064220183486238532110092,2.996389891696750902527075812,1.166666666666666666666666667,1.515283842794759825327510917,1.689655172413793103448275862,2.996197718631178707224334601,2.997555012224938875305623472,1.080586080586080586080586081,2.979757085020242914979757085,2.981132075471698113207547170,2.312195121951219512195121951,0.9860465116279069767441860465
cleverDetective,4.972972972972972972972972973,0.9841269841269841269841269841,2.973333333333333333333333333,2.988095238095238095238095238,2.98828125,2.985849056603773584905660377,2.987951807228915662650602410,2.987234042553191489361702128,2.987854251012145748987854251,3,3,,2.980392156862745098039215686,4.845794392523364485981308411,2.849056603773584905660377358,2.982089552238805970149253731,2.978494623655913978494623656,3,3,3.214634146341463414634146341,2.980830670926517571884984026,2.971698113207547169811320755,2.502074688796680497925311203,2.243027888446215139442231076,1.029850746268656716417910448,2.396774193548387096774193548,2.985714285714285714285714286,3.981395348837209302325581395,3,2.985294117647058823529411765,1.012552301255230125523012552,2.986899563318777292576419214,2.600938967136150234741784038,2.985148514851485148514851485,3,2.985436893203883495145631068,1.921568627450980392156862745,2.985436893203883495145631068,2.986725663716814159292035398,2.986784140969162995594713656,2.985507246376811594202898551,2.986784140969162995594713656,2.990476190476190476190476190,2.988505747126436781609195402,2.986046511627906976744186047,2.985576923076923076923076923,2.989361702127659574468085106,2.985507246376811594202898551,2.987394957983193277310924370,2.986046511627906976744186047,2.985507246376811594202898551,2.974358974358974358974358974,3,0.9963898916967509025270758123,1.028571428571428571428571429,1.032,2.470119521912350597609561753,1.759433962264150943396226415,2.547619047619047619047619048,2.985849056603773584905660377,2.987704918032786885245901639,2.495098039215686274509803922,3.838709677419354838709677419,2.987903225806451612903225806,2.63,2.922727272727272727272727273,2.985849056603773584905660377,2.988679245283018867924528302,3,2.986486486486486486486486486,3,3,2.918552036199095022624434389,2.987755102040816326530612245,2.985,2.981481481481481481481481481,2.987394957983193277310924370,2.955719557195571955719557196,2.009950248756218905472636816,2.981927710843373493975903614,2.985645933014354066985645933,2.029787234042553191489361702,3.012244897959183673469387755,2.985559566787003610108303249,2.981735159817351598173515982,1.168181818181818181818181818,0.9806763285024154589371980676
clevererDetective,4.971014492753623188405797101,0.9843137254901960784313725490,2.977859778597785977859778598,2.985148514851485148514851485,2.990099009900990099009900990,2.988142292490118577075098814,2.989130434782608695652173913,2.985507246376811594202898551,2.985074626865671641791044776,3,3,2.980392156862745098039215686,,4.843601895734597156398104265,2.847619047619047619047619048,2.973684210526315789473684211,2.972850678733031674208144796,3,3,3.229629629629629629629629630,2.970873786407766990291262136,2.977443609022556390977443609,2.512820512820512820512820513,2.245551601423487544483985765,1.030188679245283018867924528,2.402912621359223300970873786,2.986046511627906976744186047,3.985,3,2.989583333333333333333333333,1.011904761904761904761904762,2.990566037735849056603773585,2.652380952380952380952380952,2.987012987012987012987012987,3,2.990033222591362126245847176,1.741463414634146341463414634,2.987755102040816326530612245,2.988235294117647058823529412,2.989051094890510948905109489,2.987603305785123966942148760,2.986111111111111111111111111,2.988416988416988416988416988,2.988095238095238095238095238,2.987654320987654320987654321,2.985074626865671641791044776,2.987804878048780487804878049,2.985849056603773584905660377,2.987124463519313304721030043,2.985365853658536585365853659,2.988970588235294117647058824,2.976744186046511627906976744,3,0.9951219512195121951219512195,1.029411764705882352941176471,1.028776978417266187050359712,2.482014388489208633093525180,1.764192139737991266375545852,2.606965174129353233830845771,2.988721804511278195488721805,2.986956521739130434782608696,2.493150684931506849315068493,3.830917874396135265700483092,2.987234042553191489361702128,2.152941176470588235294117647,2.987551867219917012448132780,2.987755102040816326530612245,2.987012987012987012987012987,3,2.988372093023255813953488372,3,3,2.828703703703703703703703704,2.988461538461538461538461538,2.985781990521327014218009479,2.974895397489539748953974895,2.992957746478873239436619718,2.946428571428571428571428571,2.004405286343612334801762115,2.970873786407766990291262136,2.986046511627906976744186047,2.034825870646766169154228856,3.013157894736842105263157895,2.984848484848484848484848485,2.982683982683982683982683983,1.151639344262295081967213115,0.9824561403508771929824561404
confusedTitForTat,4.991836734693877551020408163,0,1.818181818181818181818181818,0.3058252427184466019417475728,2.388,2.371040723981900452488687783,2.265486725663716814159292035,2.504761904761904761904761905,2.466346153846153846153846154,2.250909090909090909090909091,2.804878048780487804878048780,0.1261682242990654205607476636,0.1279620853080568720379146919,,2.25,2.242718446601941747572815534,1.147465437788018433179723502,2.264705882352941176470588235,0.8019801980198019801980198020,2.231527093596059113300492611,1.104803493449781659388646288,2.058823529411764705882352941,2.243243243243243243243243243,2.986784140969162995594713656,2.266990291262135922330097087,2.25,2.263565891472868217054263566,2.810810810810810810810810811,0.7668161434977578475336322870,0.1317073170731707317073170732,0.04285714285714285714285714286,2.253731343283582089552238806,2.117437722419928825622775801,2.264462809917355371900826446,2.265,2.048780487804878048780487805,0.3130841121495327102803738318,2.446666666666666666666666667,2.265765765765765765765765766,2.25,2.258181818181818181818181818,2.263157894736842105263157895,2.25,2.252788104089219330855018587,2.259259259259259259259259259,2.264227642276422764227642276,0.2454545454545454545454545455,2.253333333333333333333333333,2.252830188679245283018867925,2.266055045871559633027522936,2.264705882352941176470588235,1.084690553745928338762214984,0.09030100334448160535117056856,0.01980198019801980198019801980,1.350993377483443708609271523,2.258823529411764705882352941,2.266355140186915887850467290,2.264705882352941176470588235,1.410377358490566037735849057,2.25,1.873786407766990291262135922,2.252459016393442622950819672,0.1284403669724770642201834862,2.260089686098654708520179372,2.086956521739130434782608696,1.789915966386554621848739496,2.263565891472868217054263566,1.695364238410596026490066225,3.006309148264984227129337539,2.259259259259259259259259259,2.048309178743961352657004831,3.008695652173913043478260870,2.134782608695652173913043478,1.838582677165354330708661417,0.3444976076555023923444976077,2.07,2.260089686098654708520179372,0.1719457013574660633484162896,2.013953488372093023255813953,1.812949640287769784172661871,2.252225519287833827893175074,2.3515625,3.166297117516629711751662971,2.257328990228013029315960912,2.253012048192771084337349398,2.155940594059405940594059406,0
conMan,3.982142857142857142857142857,0.9969040247678018575851393189,2.857627118644067796610169492,2.857142857142857142857142857,2.911214953271028037383177570,2.902439024390243902439024390,2.880382775119617224880382775,3.094650205761316872427983539,3.072874493927125506072874494,2.857142857142857142857142857,3.964757709251101321585903084,2.849056603773584905660377358,2.847619047619047619047619048,2.25,,2.841628959276018099547511312,2.845794392523364485981308411,2.856630824372759856630824373,2.029850746268656716417910448,2.833333333333333333333333333,2.850318471337579617834394904,2.741784037558685446009389671,2.853658536585365853658536585,1.534722222222222222222222222,1.024875621890547263681592040,2.658008658008658008658008658,2.858536585365853658536585366,3.976744186046511627906976744,1.977876106194690265486725664,1.237918215613382899628252788,1.046692607003891050583657588,2.881188118811881188118811881,1.486381322957198443579766537,2.870813397129186602870813397,2.856,2.923809523809523809523809524,1.004032258064516129032258065,3.029702970297029702970297030,2.866666666666666666666666667,2.858536585365853658536585366,2.859030837004405286343612335,2.859154929577464788732394366,2.859778597785977859778597786,2.859223300970873786407766990,2.860360360360360360360360360,2.857692307692307692307692308,2.86,2.867924528301886792452830189,2.858921161825726141078838174,2.859504132231404958677685950,2.857142857142857142857142857,2.847222222222222222222222222,2.860696517412935323383084577,1.004672897196261682242990654,1.014563106796116504854368932,1.018050541516245487364620939,1.028806584362139917695473251,1.032573289902280130293159609,2.687203791469194312796208531,2.879227053140096618357487923,2.859778597785977859778597786,2.5,3.980392156862745098039215686,2.857651245551601423487544484,2.082125603864734299516908213,1.225694444444444444444444444,2.857777777777777777777777778,1.252964426877470355731225296,2.869198312236286919831223629,2.857707509881422924901185771,2.754807692307692307692307692,1.533898305084745762711864407,2.800970873786407766990291262,1.721311475409836065573770492,2.860262008733624454148471616,2.863481228668941979522184300,2.885496183206106870229007634,3.985074626865671641791044776,2,1.694214876033057851239669421,2.858490566037735849056603774,2.677725118483412322274881517,3.980769230769230769230769231,2.848484848484848484848484848,2.848623853211009174311926606,2.982222222222222222222222222,0.9952606635071090047393364929
defectFirstTitForTat,3.008620689655172413793103448,1,2.509025270758122743682310469,3,2.971291866028708133971291866,3.004716981132075471698113208,3.006802721088435374149659864,2.985365853658536585365853659,2.987212276214833759590792839,3.004854368932038834951456311,3.005,2.997014925373134328358208955,2.995614035087719298245614035,2.266990291262135922330097087,2.864253393665158371040723982,,2.986784140969162995594713656,3.004237288135593220338983051,3.004608294930875576036866359,1,2.985,2.985365853658536585365853659,3,3,1.042857142857142857142857143,2.675555555555555555555555556,3.003322259136212624584717608,3.006389776357827476038338658,3.004329004329004329004329004,3.004854368932038834951456311,1.013761467889908256880733945,2.962441314553990610328638498,1.074380165289256198347107438,3.004608294930875576036866359,3.004761904761904761904761905,3.009132420091324200913242009,1.970731707317073170731707317,3.009900990099009900990099010,3,2.511210762331838565022421525,3.00390625,3,2.5,3.003984063745019920318725100,3.004629629629629629629629630,2.508591065292096219931271478,3.004854368932038834951456311,3.003460207612456747404844291,3.004901960784313725490196078,2.97,3.003802281368821292775665399,2.985294117647058823529411765,3.004761904761904761904761905,1.009803921568627450980392157,2.509157509157509157509157509,2.511210762331838565022421525,2.5,2.511415525114155251141552511,2.731343283582089552238805970,2.971530249110320284697508897,3,2.507109004739336492890995261,3.007220216606498194945848375,3.004566210045662100456621005,2.294985250737463126843657817,1.066176470588235294117647059,2.512437810945273631840796020,3.004405286343612334801762115,2.5,3.004065040650406504065040650,3.008264462809917355371900826,2,2.872807017543859649122807018,3,3,3.004329004329004329004329004,2.961538461538461538461538462,3.009523809523809523809523810,2.502439024390243902439024390,1.012448132780082987551867220,2.5,2.666666666666666666666666667,3.009009009009009009009009009,2.995983935742971887550200803,2.995073891625615763546798030,1.014084507042253521126760563,1
delayedDetective,4.846808510638297872340425532,0.9823008849557522123893805310,2.972477064220183486238532110,2.988372093023255813953488372,2.985074626865671641791044776,2.711191335740072202166064982,2.987755102040816326530612245,2.835820895522388059701492537,2.830985915492957746478873239,2.982532751091703056768558952,3.933797909407665505226480836,2.978494623655913978494623656,2.972850678733031674208144796,3.359447004608294930875576037,2.845794392523364485981308411,2.964757709251101321585903084,,2.981735159817351598173515982,3,2.959821428571428571428571429,2.970297029702970297029702970,2.978798586572438162544169611,2.984251968503937007874015748,2.996336996336996336996336996,2.578431372549019607843137255,1.245689655172413793103448276,2.985365853658536585365853659,3.920704845814977973568281938,3,2.988,1.118942731277533039647577093,2.987341772151898734177215190,2.549800796812749003984063745,2.986301369863013698630136986,2.986159169550173010380622837,2.987179487179487179487179487,1.273026315789473684210526316,2.987903225806451612903225806,2.987341772151898734177215190,2.990163934426229508196721311,2.986238532110091743119266055,2.985981308411214953271028037,2.985849056603773584905660377,2.986363636363636363636363636,2.986725663716814159292035398,2.986842105263157894736842105,2.986425339366515837104072398,2.986111111111111111111111111,2.99,2.985436893203883495145631068,2.988,2.971428571428571428571428571,3,0.9922779922779922779922779923,1.027397260273972602739726027,1.046296296296296296296296296,1.061674008810572687224669604,1.076595744680851063829787234,2.571428571428571428571428571,2.988847583643122676579925651,2.988326848249027237354085603,3.248847926267281105990783410,3.784140969162995594713656388,2.990131578947368421052631579,2.191176470588235294117647059,2.970588235294117647058823529,2.985507246376811594202898551,2.987804878048780487804878049,3,2.989323843416370106761565836,1.126829268292682926829268293,3,3.089743589743589743589743590,2.974358974358974358974358974,2.986956521739130434782608696,2.980327868852459016393442623,2.989619377162629757785467128,1.319248826291079812206572770,2.006578947368421052631578947,2.975103734439834024896265560,2.990353697749196141479099678,2.098214285714285714285714286,1.167164179104477611940298507,2.974468085106382978723404255,2.974358974358974358974358974,1.281385281385281385281385281,0.9851851851851851851851851852
detective,4.974683544303797468354430380,0.9874476987447698744769874477,2.995348837209302325581395349,2.995850622406639004149377593,2.995475113122171945701357466,2.996865203761755485893416928,2.995024875621890547263681592,2.996655518394648829431438127,2.995475113122171945701357466,2.991803278688524590163934426,2.990610328638497652582159624,2.983974358974358974358974359,2.98,2.240196078431372549019607843,2.856630824372759856630824373,2.983050847457627118644067797,2.981735159817351598173515982,,2.995215311004784688995215311,2.981273408239700374531835206,2.984435797665369649805447471,2.985507246376811594202898551,2.995370370370370370370370370,2.995918367346938775510204082,1.038834951456310679611650485,2.657142857142857142857142857,2.995348837209302325581395349,1.088669950738916256157635468,2.995762711864406779661016949,2.995412844036697247706422018,1.017699115044247787610619469,2.995049504950495049504950495,1.218543046357615894039735099,2.995495495495495495495495495,2.990566037735849056603773585,2.995260663507109004739336493,2.115,2.995145631067961165048543689,2.996815286624203821656050955,2.995495495495495495495495495,2.995283018867924528301886792,2.996062992125984251968503937,2.995614035087719298245614035,2.996,2.996031746031746031746031746,2.995575221238938053097345133,2.996296296296296296296296296,2.995967741935483870967741935,2.995535714285714285714285714,2.995283018867924528301886792,2.996515679442508710801393728,2.980676328502415458937198068,2.995192307692307692307692308,1,1.028301886792452830188679245,1.037558685446009389671361502,1.047846889952153110047846890,1.045977011494252873563218391,2.729357798165137614678899083,2.995614035087719298245614035,2.996491228070175438596491228,2.5,1.094827586206896551724137931,2.995652173913043478260869565,2.207920792079207920792079208,2.995495495495495495495495495,2.995073891625615763546798030,2.995708154506437768240343348,2.995327102803738317757009346,2.996309963099630996309963100,1.057851239669421487603305785,2.008438818565400843881856540,2.876595744680851063829787234,2.995433789954337899543378995,2.995780590717299578059071730,2.981900452488687782805429864,2.995,1.155963302752293577981651376,2.504587155963302752293577982,1.034482758620689655172413793,2.996587030716723549488054608,2.668032786885245901639344262,1.105263157894736842105263158,2.976635514018691588785046729,2.975124378109452736318407960,2.476851851851851851851851852,0.9871794871794871794871794872
escalatingTitForTat,3,0.8361344537815126050420168067,3,3,3,3,3,3,3,2.995575221238938053097345133,2.995918367346938775510204082,2.977678571428571428571428571,2.975728155339805825242718447,4.019801980198019801980198020,2.054726368159203980099502488,2.981566820276497695852534562,2.977578475336322869955156951,2.995215311004784688995215311,,2.979166666666666666666666667,2.981884057971014492753623188,2.975369458128078817733990148,2.996478873239436619718309859,2.995918367346938775510204082,1.161417322834645669291338583,1.739495798319327731092436975,3,3,3,3,3,3,1.828877005347593582887700535,3,2.996621621621621621621621622,3,1.490039840637450199203187251,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.8530465949820788530465949821,1.011152416356877323420074349,1.175,1.316037735849056603773584906,1.408088235294117647058823529,2.072727272727272727272727273,3,3,2.661157024793388429752066116,3,3,2.679824561403508771929824561,3,3,3,3,3,3,3,2.855218855218855218855218855,3,3,2.979079497907949790794979079,3,3,0.9870689655172413793103448276,3,3,3,3,2.977168949771689497716894977,2.977876106194690265486725664,1.106951871657754010695187166,0.8311688311688311688311688312
evilTitForTat,3.014492753623188405797101449,1,1.014634146341463414634146341,2.995238095238095238095238095,2.980676328502415458937198068,2.980295566502463054187192118,3.004464285714285714285714286,2.981481481481481481481481481,2.982456140350877192982456140,3,3,2.019512195121951219512195122,2.007407407407407407407407407,2.280788177339901477832512315,2.857142857142857142857142857,1,2.982142857142857142857142857,3,3,,2.986577181208053691275167785,2.980295566502463054187192118,3,3,1.040955631399317406143344710,2.656862745098039215686274510,2.996632996632996632996632997,3.004385964912280701754385965,3,2.995098039215686274509803922,1.012658227848101265822784810,2.982142857142857142857142857,1.252380952380952380952380952,2.995555555555555555555555556,3,3.019230769230769230769230769,1.806083650190114068441064639,3.017167381974248927038626609,2.995689655172413793103448276,2.980676328502415458937198068,2.995744680851063829787234043,2.984848484848484848484848485,2.989218328840970350404312668,2.996078431372549019607843137,2.996632996632996632996632997,2.982062780269058295964125561,2.995145631067961165048543689,2.995049504950495049504950495,2.995192307692307692307692308,2.987915407854984894259818731,2.996124031007751937984496124,2.986206896551724137931034483,2.996138996138996138996138996,1.013888888888888888888888889,1.027667984189723320158102767,1.042056074766355140186915888,1.046218487394957983193277311,1.043189368770764119601328904,2.528301886792452830188679245,2.982062780269058295964125561,2.996254681647940074906367041,2.493670886075949367088607595,1.022727272727272727272727273,2.995024875621890547263681592,2.165938864628820960698689956,1.014018691588785046728971963,2.984,2.995260663507109004739336493,3,2.996,3.013636363636363636363636364,3,2.859205776173285198555956679,2.995024875621890547263681592,2.995689655172413793103448276,2.995024875621890547263681592,2.984063745019920318725099602,3.016064257028112449799196787,2.013824884792626728110599078,1.014563106796116504854368932,2.987055016181229773462783172,2.675,3.019801980198019801980198020,2.008849557522123893805309735,2.014234875444839857651245552,1.014705882352941176470588235,1
FallenAngel,3.462093862815884476534296029,0.9857142857142857142857142857,2.982142857142857142857142857,2.988326848249027237354085603,2.987394957983193277310924370,2.989285714285714285714285714,2.990712074303405572755417957,2.985130111524163568773234201,3.089686098654708520179372197,2.989821882951653944020356234,3.943894389438943894389438944,2.980830670926517571884984026,2.970873786407766990291262136,3.397379912663755458515283843,2.850318471337579617834394904,2.96,2.970297029702970297029702970,2.984435797665369649805447471,3,2.969798657718120805369127517,,2.971962616822429906542056075,2.982832618025751072961373391,2.995283018867924528301886792,3.121621621621621621621621622,1.25,3,3.210332103321033210332103321,3,2.987068965517241379310344828,3,2.988326848249027237354085603,2.608910891089108910891089109,2.993762993762993762993762994,2.983193277310924369747899160,2.986547085201793721973094170,2.075630252100840336134453782,2.987012987012987012987012987,2.988142292490118577075098814,2.986363636363636363636363636,2.991803278688524590163934426,2.990099009900990099009900990,2.986842105263157894736842105,3,3,2.988679245283018867924528302,2.987551867219917012448132780,2.986666666666666666666666667,3,2.986899563318777292576419214,3,2.986175115207373271889400922,3,0.9626556016597510373443983402,1.006734006734006734006734007,1.047619047619047619047619048,1.074074074074074074074074074,1.768472906403940886699507389,1.211155378486055776892430279,3,2.987551867219917012448132780,3.171945701357466063348416290,2.990697674418604651162790698,2.986547085201793721973094170,2.680672268907563025210084034,2.986425339366515837104072398,2.986238532110091743119266055,3,3,2.987903225806451612903225806,2.606177606177606177606177606,3,3.047619047619047619047619048,2.973333333333333333333333333,3,2.971428571428571428571428571,3,2.048054919908466819221967963,2.014851485148514851485148515,2.979166666666666666666666667,3,2.947598253275109170305676856,2.311764705882352941176470588,2.971014492753623188405797101,2.979865771812080536912751678,2.113333333333333333333333333,0.9843137254901960784313725490
FallenAngel2,3.512195121951219512195121951,0.98,2.980891719745222929936305732,2.986784140969162995594713656,2.923404255319148936170212766,2.986842105263157894736842105,2.985436893203883495145631068,3.141509433962264150943396226,2.762081784386617100371747212,2.983870967741935483870967742,3.506666666666666666666666667,2.971698113207547169811320755,2.977443609022556390977443609,2.443438914027149321266968326,2.906103286384976525821596244,2.960975609756097560975609756,2.978798586572438162544169611,2.985507246376811594202898551,3,2.955665024630541871921182266,2.971962616822429906542056075,,2.981735159817351598173515982,2.995515695067264573991031390,1.153846153846153846153846154,2.355102040816326530612244898,2.985436893203883495145631068,3.444108761329305135951661631,3,2.987447698744769874476987448,2.757425742574257425742574257,2.985436893203883495145631068,2.808163265306122448979591837,2.986607142857142857142857143,2.985714285714285714285714286,2.986899563318777292576419214,1.185430463576158940397350993,2.98828125,2.986842105263157894736842105,2.985849056603773584905660377,2.986175115207373271889400922,2.985365853658536585365853659,2.985148514851485148514851485,2.986175115207373271889400922,2.985,2.988970588235294117647058824,2.986046511627906976744186047,2.987288135593220338983050847,2.986175115207373271889400922,2.986899563318777292576419214,2.985781990521327014218009479,2.978417266187050359712230216,3,0.5575,0.7657657657657657657657657658,1.142222222222222222222222222,1.385214007782101167315175097,1.507692307692307692307692308,2.622149837133550488599348534,2.986363636363636363636363636,2.986956521739130434782608696,2.504950495049504950495049505,3.313099041533546325878594249,2.988721804511278195488721805,2.233128834355828220858895706,2.937759336099585062240663900,2.988764044943820224719101124,2.990506329113924050632911392,3,2.99,2.788177339901477832512315271,3,2.874396135265700483091787440,2.975806451612903225806451613,2.988764044943820224719101124,2.977528089887640449438202247,2.988888888888888888888888889,2.715517241379310344827586207,2.008733624454148471615720524,2.971428571428571428571428571,2.989898989898989898989898990,2.911764705882352941176470588,2.519685039370078740157480315,2.970588235294117647058823529,2.973913043478260869565217391,2.202205882352941176470588235,0.9841269841269841269841269841
fastDetective,4.981308411214953271028037383,0.9907834101382488479262672811,2.995049504950495049504950495,2.995744680851063829787234043,1.440366972477064220183486239,2.996415770609318996415770609,1.431535269709543568464730290,2.996515679442508710801393728,2.995327102803738317757009346,2.995260663507109004739336493,2.996932515337423312883435583,2.502074688796680497925311203,2.491452991452991452991452991,2.265765765765765765765765766,2.853658536585365853658536585,2.981203007518796992481203008,2.984251968503937007874015748,2.995370370370370370370370370,2.996478873239436619718309859,2.975845410628019323671497585,2.982832618025751072961373391,2.981735159817351598173515982,,2.990243902439024390243902439,1.029411764705882352941176471,2.668202764976958525345622120,2.995098039215686274509803922,1.039312039312039312039312039,2.995073891625615763546798030,2.996784565916398713826366559,1.008333333333333333333333333,2.995260663507109004739336493,1.138059701492537313432835821,2.996240601503759398496240602,2.995024875621890547263681592,1.436363636363636363636363636,1.026666666666666666666666667,1.438818565400843881856540084,2.995633187772925764192139738,2.996466431095406360424028269,2.995238095238095238095238095,2.995049504950495049504950495,2.995260663507109004739336493,2.995073891625615763546798030,2.995327102803738317757009346,2.995073891625615763546798030,2.995689655172413793103448276,2.995370370370370370370370370,2.996350364963503649635036496,2.996078431372549019607843137,2.995348837209302325581395349,2.982905982905982905982905983,2.995515695067264573991031390,1.008333333333333333333333333,1.016528925619834710743801653,1.028571428571428571428571429,1.04,1.035211267605633802816901408,2.728110599078341013824884793,2.996894409937888198757763975,2.995689655172413793103448276,2.498567335243553008595988539,1.095693779904306220095693780,2.995594713656387665198237885,2.106280193236714975845410628,2.995192307692307692307692308,2.995215311004784688995215311,2.995073891625615763546798030,2.995169082125603864734299517,2.995575221238938053097345133,1.059701492537313432835820896,1.991803278688524590163934426,2.871111111111111111111111111,2.995121951219512195121951220,2.995145631067961165048543689,2.982222222222222222222222222,2.995412844036697247706422018,1.099071207430340557275541796,2.502463054187192118226600985,1.022026431718061674008810573,2.995024875621890547263681592,2.666666666666666666666666667,1.086580086580086580086580087,2.493006993006993006993006993,2.502463054187192118226600985,1.084158415841584158415841584,0.9920634920634920634920634921
fastDetectiveSimpleton,4.981481481481481481481481481,0.5,2.995495495495495495495495495,2.996677740863787375415282392,2.995884773662551440329218107,2.995475113122171945701357466,1.423963133640552995391705069,2.996124031007751937984496124,2.995192307692307692307692308,2.996212121212121212121212121,2.996551724137931034482758621,2.262948207171314741035856574,2.263345195729537366548042705,1.356828193832599118942731278,2.75,2.978902953586497890295358650,2.978021978021978021978021978,2.995918367346938775510204082,2.995918367346938775510204082,2.978260869565217391304347826,2.971698113207547169811320755,2.973094170403587443946188341,2.990243902439024390243902439,,2.090909090909090909090909091,2.740350877192982456140350877,2.995098039215686274509803922,1.073732718894009216589861751,2.995708154506437768240343348,2.995024875621890547263681592,0.5165289256198347107438016529,2.995726495726495726495726496,1.931034482758620689655172414,2.995475113122171945701357466,2.995238095238095238095238095,1.468292682926829268292682927,1.697674418604651162790697674,1.429906542056074766355140187,2.996138996138996138996138996,2.996587030716723549488054608,2.997142857142857142857142857,2.995918367346938775510204082,2.995370370370370370370370370,2.995967741935483870967741935,2.995238095238095238095238095,2.995833333333333333333333333,2.995934959349593495934959350,2.995024875621890547263681592,2.995327102803738317757009346,2.995098039215686274509803922,2.995049504950495049504950495,2.977941176470588235294117647,2.995024875621890547263681592,0.5098039215686274509803921569,2,2,2.006116207951070336391437309,2,1.786363636363636363636363636,2.995594713656387665198237885,2.995305164319248826291079812,2.008064516129032258064516129,1.093457943925233644859813084,2.995260663507109004739336493,2.018656716417910447761194030,2.995260663507109004739336493,2.995283018867924528301886792,2.996309963099630996309963100,2.995652173913043478260869565,2.997530864197530864197530864,1.056074766355140186915887850,2.977099236641221374045801527,2.737991266375545851528384279,2.995,2.995918367346938775510204082,2.970149253731343283582089552,2.995652173913043478260869565,1.151658767772511848341232227,2.253731343283582089552238806,0.532,2.995515695067264573991031390,2.171296296296296296296296296,1.1,2.262135922330097087378640777,2.259689922480620155038759690,0.5377358490566037735849056604,0.4978902953586497890295358650
